SampleID,Ca,Mg,Na,K,HCO3,Cl,SO4,NO3,pH,EC,TDS,Temp,Fe,Mn,TH,WaterType
S001,51.2,52.47,78.61,18.87,242.23,34.75,115.14,31.83,6.55,2639.7,1311.1,21.2,0.216,0.432,343.81,Ca-HCO3
S002,114.58,39.28,129.4,19.12,300.11,226.61,126.76,9.98,7.24,671.2,384.7,27.4,1.512,0.633,447.78,Ca-Cl
S003,90.52,23.2,129.64,18.38,281.07,131.26,84.54,6.57,6.99,372.9,1092.4,18.3,0.621,0.256,321.52,Na-HCO3
S004,75.85,8.5,110.87,8.03,147.98,208.35,114.82,1.15,7.25,2126.9,1143.2,19.5,0.979,0.501,224.38,Na-Cl
S005,27.16,22.1,25.34,1.29,384.2,86.81,107.26,16.1,6.78,1693.6,838.3,29.2,0.729,0.709,158.78,Ca-HCO3
S006,27.16,22.89,168.38,18.64,308.26,224.93,162.7,26.75,8.55,2388.8,1359.9,20.5,0.896,0.493,162.03,Na-Cl
S007,16.39,45.13,69.59,9.14,244.02,103.41,12.95,17.95,7.87,563.4,1690.4,27.1,1.8,0.187,226.68,Na-HCO3
S008,105.28,40.07,43.81,19.37,264.1,12.6,54.17,19.97,8.06,2267.7,1675.7,21.3,0.75,0.02,427.81,Ca-HCO3
S009,76.12,53.8,15.83,19.31,196.86,227.29,171.32,40.74,8.32,724.2,882.9,19.4,1.42,0.696,411.51,Ca-Cl
S010,87.89,30.97,121.45,17.21,136.71,31.91,160.8,16.0,7.65,625.5,319.1,21.4,1.195,0.018,346.93,Na-Cl
S011,12.26,11.58,138.09,6.59,174.59,86.64,84.74,23.37,6.7,627.1,1774.7,28.1,1.663,0.7,78.28,Na-HCO3
S012,116.69,44.23,11.18,8.32,315.25,238.01,113.52,35.37,7.74,2317.9,1531.0,30.0,2.343,0.424,473.43,Ca-Cl
S013,101.57,46.84,106.32,17.17,55.04,238.15,53.54,18.15,7.85,1929.5,338.2,29.6,1.834,0.751,446.41,Ca-Cl
S014,33.36,35.87,51.49,7.02,90.63,147.63,37.92,28.18,8.21,1560.0,1667.8,23.6,0.545,0.639,230.94,Ca-Cl
S015,30.0,47.4,131.87,4.22,66.1,161.64,86.15,38.88,7.49,1133.0,1582.7,27.4,0.088,0.798,270.01,Na-Cl
S016,30.17,32.16,41.48,11.58,64.26,117.63,66.84,42.75,6.79,2480.7,996.5,20.9,0.663,0.281,207.71,Ca-Cl
S017,43.47,33.75,140.66,18.79,349.41,80.37,107.14,7.04,7.15,1220.4,1117.4,22.1,1.492,0.614,247.46,Na-HCO3
S018,67.72,28.51,82.25,14.22,296.28,88.88,18.6,41.73,7.34,2323.2,796.3,30.5,0.138,0.322,286.44,Na-HCO3
S019,57.51,6.4,187.85,11.83,215.96,171.4,175.52,22.4,7.99,1341.8,221.5,18.2,1.246,0.384,169.94,Na-Cl
S020,42.04,10.93,34.4,2.85,84.24,190.57,177.59,11.99,7.81,1180.1,689.8,19.2,1.496,0.502,149.96,Ca-Cl
S021,77.3,6.73,73.48,12.69,222.07,199.98,127.18,20.93,7.32,1403.0,1470.8,20.9,0.842,0.699,220.72,Na-Cl
S022,25.34,40.0,29.79,19.81,215.72,199.51,98.82,44.11,8.77,983.6,137.7,18.4,1.93,0.787,227.91,Ca-Cl
S023,42.14,22.29,185.54,3.66,110.62,31.89,59.17,22.42,7.89,2143.8,686.9,20.5,0.275,0.615,196.97,Na-HCO3
S024,50.3,32.97,176.45,10.85,201.85,128.66,147.41,15.13,7.05,1507.1,794.9,26.2,0.197,0.335,261.3,Na-Cl
S025,60.17,54.92,57.52,17.67,189.48,23.81,124.83,28.69,6.73,803.8,1027.5,23.9,1.823,0.338,376.3,Ca-HCO3
S026,96.37,18.71,134.72,15.07,265.55,141.89,33.46,11.19,6.85,2538.9,1666.2,30.5,1.244,0.59,317.65,Na-HCO3
S027,31.96,27.57,164.91,14.24,272.28,115.97,164.41,3.88,7.07,1198.1,708.4,29.4,1.724,0.192,193.28,Na-Cl
S028,66.57,46.56,114.6,14.35,65.86,223.05,148.94,6.24,6.87,1613.2,709.4,22.8,1.093,0.089,357.87,Na-Cl
S029,75.17,17.58,109.69,7.83,181.11,94.22,171.21,6.2,6.93,2556.8,1361.6,21.6,0.624,0.284,260.06,Na-Cl
S030,15.11,9.23,54.44,6.58,269.05,38.1,132.0,7.26,7.16,1823.0,885.2,23.3,2.05,0.231,75.72,Na-HCO3
S031,76.83,20.94,25.88,16.38,226.1,44.32,112.35,6.68,6.9,503.9,505.1,26.3,2.001,0.238,278.03,Ca-HCO3
S032,28.76,13.87,180.27,16.39,349.77,192.76,78.19,29.02,8.56,2643.6,885.6,21.8,1.74,0.188,128.9,Na-HCO3
S033,17.16,56.13,180.88,17.47,280.54,158.37,168.23,8.59,6.68,1832.0,365.2,26.7,0.688,0.035,273.88,Na-Cl
